time/fps,time/iterations,time/time_elapsed,time/total_timesteps,train/loss,train/clip_range,train/learning_rate,train/std,train/entropy_loss,train/n_updates,train/approx_kl,train/clip_fraction,train/value_loss,train/explained_variance,train/policy_gradient_loss,rollout/ep_rew_mean,rollout/ep_len_mean
569,105,377,215040,1.8556153774261475,0.3,0.0003,2.194260835647583,-4.376715315878391,1040,0.0065109218,0.019482421875,18.275558591634034,0.9455971121788025,-0.0010700404651288408,-6356.16380871795,5463.051282051282
570,106,380,217088,108.43932342529297,0.3,0.0003,2.2053186893463135,-4.391111028194428,1050,0.008983214,0.01298828125,122.37164144143462,0.8748677968978882,0.0015323273997637442,-6356.16380871795,5463.051282051282
569,107,384,219136,0.5435607433319092,0.3,0.0003,2.247547149658203,-4.411775776743889,1060,0.028833956,0.056298828125,18.86352895796299,0.9281465411186218,-0.0022426209645345805,-6251.454767124999,5432.2
570,108,387,221184,79.34861755371094,0.3,0.0003,2.25152325630188,-4.43844982534647,1070,0.00239943,0.007080078125,104.81298045162112,0.9343494176864624,-0.00033276700851274653,-6251.454767124999,5432.2
570,109,391,223232,0.8803074359893799,0.3,0.0003,2.26785945892334,-4.441600285470486,1080,0.008468144,0.029150390625,7.890776858478785,0.8334817290306091,-0.0018026165183982813,-6161.2096483414625,5429.707317073171
570,110,394,225280,92.40128326416016,0.3,0.0003,2.2883474826812744,-4.46077094823122,1090,0.004219006,0.007177734375,101.89023260623216,0.9624528288841248,-0.0008992913994006812,-6161.2096483414625,5429.707317073171
570,111,398,227328,1.5692696571350098,0.3,0.0003,2.3201215267181396,-4.4781426161527635,1100,0.0059571015,0.0171875,7.9112182457000015,0.960712730884552,-0.0018701891298405827,-6072.745848714285,5404.119047619048
571,112,401,229376,3.8009917736053467,0.3,0.0003,2.3282699584960938,-4.49696831703186,1110,0.0068525504,0.0259765625,92.76158951073884,0.9490355849266052,-0.0022629834682447838,-6072.745848714285,5404.119047619048
572,113,404,231424,1.429018259048462,0.3,0.0003,2.3131067752838135,-4.491684146225452,1120,0.013289903,0.037548828125,4.214270039647817,0.9764391183853149,-0.005548448292393005,-6072.745848714285,5404.119047619048
572,114,408,233472,1.5281846523284912,0.3,0.0003,2.347776412963867,-4.502433805167675,1130,0.015811928,0.08583984375,4.548527146875858,0.9883613586425781,-0.015910421367152594,-5986.612306511627,5390.558139534884
572,115,411,235520,2.5176591873168945,0.3,0.0003,2.3424606323242188,-4.5160351797938345,1140,0.0027568461,0.007763671875,69.60568033810705,0.9675021171569824,-0.0005523575309780426,-5986.612306511627,5390.558139534884
573,116,414,237568,3.477451801300049,0.3,0.0003,2.3527021408081055,-4.512872387468815,1150,0.017748488,0.08291015625,8.680520470067858,0.9728527069091797,-0.011560747545445338,-5986.612306511627,5390.558139534884
573,117,417,239616,0.9979848861694336,0.3,0.0003,2.351935863494873,-4.52252176553011,1160,0.025411272,0.159716796875,4.537939613312483,0.985785722732544,-0.019616721489001065,-5954.504954340909,5427.431818181818
